,f_t,f_v,f_u
190,1597821931.534125,0.6404363897055103,0.15000000596046448
191,1597821931.574116,0.6344092950440289,0.15000000596046448
192,1597821931.614124,0.6280652946653508,0.15000000596046448
193,1597821931.634123,0.47968930565288154,0.15000000596046448
194,1597821931.674212,0.4748156797254479,0.15000000596046448
195,1597821931.714182,0.469713533447823,0.15000000596046448
196,1597821931.734155,0.4633161496457734,0.15000000596046448
197,1597821931.773995,0.4576709025618862,0.15000000596046448
198,1597821931.814016,0.45182305033180375,0.15000000596046448
199,1597821931.834054,0.4448917128764649,0.15000000596046448
200,1597821931.873948,0.522728402301608,0.15000000596046448
201,1597821931.913917,0.5181602650957903,0.15000000596046448
202,1597821931.934075,0.5119893765452287,0.15000000596046448
203,1597821931.974038,0.5068340771915646,0.15000000596046448
204,1597821932.013994,0.501447321948111,0.15000000596046448
205,1597821932.033918,0.5701069117304628,0.15000000596046448
206,1597821932.073833,0.5655937449431294,0.15000000596046448
207,1597821932.113947,0.5608414730312622,0.15000000596046448
208,1597821932.133887,0.5542196570254001,0.15000000596046448
209,1597821932.173945,0.5488320186783551,0.15000000596046448
210,1597821932.213942,0.5431919672414257,0.15000000596046448
211,1597821932.233905,0.6059600030457849,0.15000000596046448
212,1597821932.273951,0.6020341678422567,0.15000000596046448
213,1597821932.31369,0.5978198349757106,0.15000000596046448
214,1597821932.333701,0.5916144174854545,0.15000000596046448
215,1597821932.37368,0.5867746754226639,0.15000000596046448
216,1597821932.413744,0.5816838757089441,0.15000000596046448
217,1597821932.433808,0.6442810560009876,0.15000000596046448
218,1597821932.47375,0.6407017838693373,0.15000000596046448
219,1597821932.513737,0.6368582321920991,0.15000000596046448
220,1597821932.533641,0.6308203424902209,0.15000000596046448
221,1597821932.573774,0.6263211666179637,0.15000000596046448
222,1597821932.613762,0.6215412919876426,0.15000000596046448
223,1597821932.633748,0.6147899288303484,0.15000000596046448
224,1597821932.673711,0.6541639303651036,0.15000000596046448
225,1597821932.713654,0.6506787460333849,0.15000000596046448
226,1597821932.733624,0.6450670837176989,0.15000000596046448
227,1597821932.773635,0.640939349321277,0.15000000596046448
228,1597821932.813646,0.6365495099080422,0.15000000596046448
229,1597821932.833662,0.682386463023552,0.15000000596046448
230,1597821932.873621,0.6792304164794958,0.15000000596046448
231,1597821932.913657,0.6758173357990005,0.15000000596046448
232,1597821932.933448,0.6702049919455985,0.15000000596046448
233,1597821932.973502,0.6661395909652487,0.15000000596046448
234,1597821933.013458,0.6618003098595556,0.15000000596046448
235,1597821933.033477,0.6821292520710839,0.15000000596046448
236,1597821933.073495,0.6790429294873239,0.15000000596046448
237,1597821933.113341,0.6756895239397648,0.15000000596046448
238,1597821933.13344,0.6703562337975769,0.15000000596046448
239,1597821933.173398,0.6663838860881942,0.15000000596046448
240,1597821933.213376,0.6621637951073179,0.15000000596046448
241,1597821933.234494,0.6562137755864678,0.15000000596046448
242,1597821933.273423,0.6794243443189683,0.15000000596046448
243,1597821933.313361,0.6763299226687189,0.15000000596046448
244,1597821933.33348,0.6714004018586491,0.15000000596046448
245,1597821933.373371,0.6677129268365182,0.15000000596046448
246,1597821933.41325,0.6637833053715584,0.15000000596046448
247,1597821933.433453,0.5217142747924997,0.15000000596046448
248,1597821933.473201,0.5175380016429246,0.15000000596046448
249,1597821933.513231,0.5131973090649312,0.15000000596046448
250,1597821933.533224,0.5085343586983969,0.15000000596046448
251,1597821933.573232,0.5037975908584181,0.15000000596046448
252,1597821933.6132,0.49889260981584227,0.15000000596046448
253,1597821933.63324,0.564064673211283,0.15000000596046448
254,1597821933.673154,0.5604268303303842,0.15000000596046448
255,1597821933.713594,0.5566243549886407,0.15000000596046448
256,1597821933.733146,0.552139142337156,0.15000000596046448
257,1597821933.77317,0.5479013044665182,0.15000000596046448
258,1597821933.813131,0.5434826926682725,0.15000000596046448
259,1597821933.833154,0.5855450224039763,0.15000000596046448
260,1597821933.873117,0.5822384765589482,0.15000000596046448
261,1597821933.913137,0.5787557871813969,0.15000000596046448
262,1597821933.933051,0.5744758323411197,0.15000000596046448
263,1597821933.97305,0.5705629990595923,0.15000000596046448
264,1597821934.013148,0.5664706327231601,0.15000000596046448
265,1597821934.032979,0.561706611094552,0.15000000596046448
266,1597821934.072993,0.7702493328552344,0.15000000596046448
267,1597821934.11303,0.7686378190873542,0.15000000596046448
268,1597821934.132996,0.7646897846438679,0.15000000596046448
269,1597821934.172953,0.7624813731299225,0.15000000596046448
270,1597821934.212999,0.7600453719066811,0.15000000596046448
271,1597821934.232904,0.7656204337118642,0.15000000596046448
272,1597821934.272892,0.7639737555756099,0.15000000596046448
273,1597821934.312883,0.7621031679711732,0.15000000596046448
274,1597821934.33288,0.7581412373501131,0.15000000596046448
275,1597821934.372861,0.7557121528365864,0.15000000596046448
276,1597821934.41287,0.7530538782685218,0.15000000596046448
277,1597821934.432955,0.9069546456854253,0.15000000596046448
278,1597821934.472993,0.9066165218565753,0.15000000596046448
279,1597821934.512971,0.9060092884040416,0.15000000596046448
280,1597821934.532883,0.9022640277367051,0.15000000596046448
281,1597821934.57276,0.9009871387704486,0.15000000596046448
282,1597821934.612783,0.8994598064592809,0.15000000596046448
283,1597821934.632722,0.8949579784970169,0.15000000596046448
284,1597821934.672737,0.8293766136157362,0.15000000596046448
285,1597821934.712715,0.8279959806626944,0.15000000596046448
286,1597821934.732737,0.8243947158777314,0.15000000596046448
287,1597821934.772689,0.8224587781113625,0.15000000596046448
288,1597821934.81262,0.8202899344788933,0.15000000596046448
289,1597821934.832635,0.6453943190885911,0.15000000596046448
290,1597821934.872614,0.642116611143462,0.15000000596046448
291,1597821934.912606,0.6386792917100954,0.15000000596046448
292,1597821934.932552,0.6347731870540055,0.15000000596046448
293,1597821934.972784,0.6309545836449014,0.15000000596046448
294,1597821935.01335,0.6269730529649883,0.15000000596046448
295,1597821935.032652,0.6313836898686395,0.15000000596046448
296,1597821935.072605,0.6280881103943873,0.15000000596046448
297,1597821935.112485,0.6246427465096376,0.15000000596046448
298,1597821935.13242,0.6208821461813506,0.15000000596046448
299,1597821935.172541,0.6170806820161734,0.15000000596046448
300,1597821935.212562,0.6131237590219815,0.15000000596046448
301,1597821935.234173,0.6162114932457808,0.15000000596046448
302,1597821935.272475,0.6128746612370948,0.15000000596046448
303,1597821935.312565,0.6094044649702504,0.15000000596046448
304,1597821935.332559,0.605768968061177,0.15000000596046448
305,1597821935.372349,0.6019652491186012,0.15000000596046448
306,1597821935.412365,0.5980167718104366,0.15000000596046448
307,1597821935.45242,0.5938822389046123,0.15000000596046448
308,1597821935.472408,0.4268832081741675,0.15000000596046448
309,1597821935.512413,0.42167167201811656,0.15000000596046448
310,1597821935.552441,0.41635637400959374,0.15000000596046448
311,1597821935.572412,0.41248023528645045,0.15000000596046448
312,1597821935.61241,0.40700062267117115,0.15000000596046448
313,1597821935.652287,0.48197933324288345,0.15000000596046448
314,1597821935.672453,0.47857707879694805,0.15000000596046448
315,1597821935.712334,0.4741809436256132,0.15000000596046448
316,1597821935.752215,0.4696644190926907,0.15000000596046448
317,1597821935.772199,0.46601950151745297,0.15000000596046448
318,1597821935.812274,0.4612960072879918,0.15000000596046448
319,1597821935.852256,0.6355798298302789,0.15000000596046448
320,1597821935.872281,0.6328630619924985,0.15000000596046448
321,1597821935.912212,0.6304295140116636,0.15000000596046448
322,1597821935.95214,0.6278247386283979,0.15000000596046448
323,1597821935.972088,0.6247418364306728,0.15000000596046448
324,1597821936.012123,0.6218571922431292,0.15000000596046448
325,1597821936.052089,0.6187943414808204,0.15000000596046448
326,1597821936.072125,0.5912306590828118,0.15000000596046448
327,1597821936.111997,0.5885280061530033,0.15000000596046448
328,1597821936.152135,0.5856787809032747,0.15000000596046448
329,1597821936.172131,0.5827370263921483,0.15000000596046448
330,1597821936.212193,0.5796454380730515,0.15000000596046448
331,1597821936.251997,0.6072397008308089,0.15000000596046448
332,1597821936.272038,0.6046451514451312,0.15000000596046448
333,1597821936.312011,0.6020841111408461,0.15000000596046448
334,1597821936.352018,0.5993735195547986,0.15000000596046448
335,1597821936.372034,0.5964591166592629,0.15000000596046448
336,1597821936.412043,0.5935013520687972,0.15000000596046448
337,1597821936.452042,0.603199962157438,0.15000000596046448
338,1597821936.472053,0.6006887318346589,0.15000000596046448
339,1597821936.512079,0.5981690254995808,0.15000000596046448
340,1597821936.551916,0.5955056226125788,0.15000000596046448
341,1597821936.571943,0.5926886993268906,0.15000000596046448
342,1597821936.611916,0.5897892720048652,0.15000000596046448
343,1597821936.651906,0.583038922896684,0.15000000596046448
344,1597821936.671916,0.580544808295792,0.15000000596046448
345,1597821936.711866,0.5778767721505276,0.15000000596046448
346,1597821936.751984,0.5750756319354231,0.15000000596046448
347,1597821936.771919,0.5722997434416252,0.15000000596046448
348,1597821936.811907,0.569280803850702,0.15000000596046448
349,1597821936.831832,0.43359005864708244,0.15000000596046448
350,1597821936.871792,0.4292722278640323,0.15000000596046448
351,1597821936.911682,0.42489364974799515,0.15000000596046448
352,1597821936.9517,0.42042304601863417,0.15000000596046448
353,1597821936.971805,0.41722084880236043,0.15000000596046448
354,1597821937.011792,0.41259927920851963,0.15000000596046448
355,1597821937.051912,0.4513893417384456,0.15000000596046448
356,1597821937.071685,0.44864499714275496,0.15000000596046448
357,1597821937.111721,0.4447722628505403,0.15000000596046448
358,1597821937.151675,0.4408338504575584,0.15000000596046448
359,1597821937.171655,0.43789599698129106,0.15000000596046448
360,1597821937.21164,0.4337963295446408,0.15000000596046448
361,1597821937.251644,0.42962327297449737,0.15000000596046448
362,1597821937.271651,0.4437148553918552,0.15000000596046448
363,1597821937.311636,0.4400904103960932,0.15000000596046448
364,1597821937.351662,0.4363984248377924,0.15000000596046448
365,1597821937.371631,0.4336747727324995,0.15000000596046448
366,1597821937.411692,0.42983060261121775,0.15000000596046448
367,1597821937.451546,0.4259295060090657,0.15000000596046448
368,1597821937.471563,0.4642098914825257,0.15000000596046448
369,1597821937.511533,0.4610774807062336,0.15000000596046448
370,1597821937.551539,0.45787636980514124,0.15000000596046448
371,1597821937.57147,0.4553898862257941,0.15000000596046448
372,1597821937.611544,0.4520290049809008,0.15000000596046448
373,1597821937.651539,0.36144375453790134,0.15000000596046448
374,1597821937.671389,0.3586821217898711,0.15000000596046448
375,1597821937.711401,0.3543051999201949,0.15000000596046448
376,1597821937.751413,0.3498799410187179,0.15000000596046448
377,1597821937.771512,0.34697879241456914,0.15000000596046448
378,1597821937.811469,0.3424532224929009,0.15000000596046448
379,1597821937.851434,0.523171225807051,0.15000000596046448
380,1597821937.871455,0.5213630213178846,0.15000000596046448
381,1597821937.911459,0.519361746763633,0.15000000596046448
382,1597821937.951531,0.5172842321733353,0.15000000596046448
383,1597821937.971424,0.5152694433671029,0.15000000596046448
384,1597821938.011404,0.5130112956808552,0.15000000596046448
385,1597821938.05125,0.5106748925732105,0.15000000596046448
386,1597821938.071381,0.5030254662910714,0.15000000596046448
387,1597821938.111293,0.5009474846916361,0.15000000596046448
388,1597821938.151285,0.4988009440271277,0.15000000596046448
389,1597821938.171232,0.49686289307354553,0.15000000596046448
